age,gender,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,mental_health_rating,exercise_frequency,diet_quality,internet_quality,exam_score,academic_risk_level,recommendations
22,Female,2.0,1.3,3.4,75.0,4.9,9,1,Fair,Average,53.8,High Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Increase weekly physical activity for better balance.']"
19,Male,5.3,2.7,4.3,90.5,6.9,4,1,Fair,Poor,74.2,Medium Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.', 'Improve internet access or use campus resources for online learning.']"
24,Male,2.5,2.6,1.4,100.0,6.2,6,0,Poor,Poor,52.5,High Risk,"['Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.', 'Improve internet access or use campus resources for online learning.']"
18,Male,1.9,1.6,2.3,72.0,6.3,3,6,Fair,Poor,51.2,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
23,Male,4.3,2.7,2.4,66.5,5.0,3,5,Fair,Poor,60.6,Medium Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
20,Female,5.3,1.8,2.0,83.8,8.4,5,1,Good,Good,91.5,Low Risk,['Increase weekly physical activity for better balance.']
17,Female,4.6,2.2,1.7,85.2,7.6,8,2,Fair,Average,87.3,Low Risk,['Maintain current positive study and lifestyle habits.']
23,Male,5.0,4.5,2.3,87.2,7.7,8,6,Good,Average,98.0,Low Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.']"
22,Female,2.4,4.1,0.0,80.5,6.1,3,1,Fair,Average,47.9,High Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
17,Male,1.4,0.9,2.6,83.0,4.4,8,3,Poor,Good,51.0,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Improve diet quality to support better academic performance.']"
17,Female,5.8,3.5,1.9,88.7,8.8,8,1,Fair,Good,90.0,Low Risk,"['Reduce social media usage to improve focus.', 'Increase weekly physical activity for better balance.']"
17,Female,3.0,3.5,1.6,95.4,6.4,3,3,Fair,Good,54.1,High Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.']"
19,Female,3.1,1.1,4.1,65.4,5.6,10,3,Good,Good,58.4,High Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
22,Male,5.5,3.5,1.1,81.3,7.0,10,2,Good,Average,100.0,Low Risk,['Reduce social media usage to improve focus.']
17,Female,4.3,4.3,1.4,87.1,7.9,2,1,Fair,Average,65.2,Medium Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
20,Female,4.2,1.2,4.0,75.8,6.5,10,1,Fair,Good,85.3,Low Risk,"['Reduce entertainment screen time.', 'Increase weekly physical activity for better balance.']"
21,Male,6.7,1.4,0.9,100.0,8.0,2,4,Fair,Good,93.8,Low Risk,['Focus on mental well-being and seek support if needed.']
17,Male,2.5,3.7,1.2,78.6,7.8,9,6,Good,Average,78.8,Medium Risk,['Reduce social media usage to improve focus.']
19,Female,4.9,2.8,1.6,84.6,5.2,7,4,Good,Average,85.0,Low Risk,['Improve sleep routine and aim for 7-8 hours of sleep.']
23,Female,3.6,3.2,2.7,90.6,5.7,6,0,Good,Good,64.5,Medium Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Increase weekly physical activity for better balance.']"
22,Female,3.9,2.9,2.0,79.1,7.6,7,3,Fair,Good,71.0,Medium Risk,['Maintain current positive study and lifestyle habits.']
24,Female,5.8,3.0,0.4,66.5,3.2,8,2,Fair,Average,90.8,Low Risk,"['Improve class attendance to at least 80%.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
19,Female,4.3,0.9,1.2,80.7,6.3,1,4,Fair,Good,72.6,Medium Risk,['Focus on mental well-being and seek support if needed.']
17,Male,4.3,3.8,1.1,95.3,4.8,8,1,Fair,Average,70.9,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Increase weekly physical activity for better balance.']"
22,Male,5.1,3.9,1.7,81.6,5.9,3,0,Fair,Poor,65.1,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.', 'Improve internet access or use campus resources for online learning.']"
21,Male,3.0,2.2,2.3,76.5,6.1,3,2,Poor,Average,49.1,High Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
17,Female,2.2,2.4,2.3,94.3,6.1,6,5,Poor,Average,62.7,Medium Risk,"['Reduce entertainment screen time.', 'Improve diet quality to support better academic performance.']"
19,Male,1.9,0.7,0.0,81.7,5.8,4,1,Good,Poor,51.5,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.', 'Improve internet access or use campus resources for online learning.']"
18,Female,0.6,3.1,3.0,79.9,5.2,4,1,Good,Good,18.4,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
20,Female,6.6,3.2,2.1,86.5,9.3,4,5,Fair,Average,100.0,Low Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
24,Female,1.8,2.4,3.3,92.7,8.7,10,3,Fair,Good,53.3,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.']"
23,Male,3.2,3.8,2.3,100.0,5.1,9,3,Fair,Poor,76.1,Medium Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Improve internet access or use campus resources for online learning.']"
19,Female,3.1,2.1,3.0,93.3,8.4,8,4,Good,Average,85.6,Low Risk,['Reduce entertainment screen time.']
22,Male,4.0,3.2,2.3,96.6,6.0,3,4,Good,Good,63.0,Medium Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
24,Female,4.7,1.3,3.3,79.9,6.7,1,1,Good,Good,73.6,Medium Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
24,Male,4.8,2.5,2.4,74.7,6.4,1,6,Good,Good,76.2,Medium Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.']"
24,Male,2.6,2.3,1.7,85.6,5.7,1,1,Fair,Good,45.5,High Risk,"['Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
17,Female,3.2,2.8,4.3,86.1,7.7,4,4,Fair,Average,58.6,High Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
20,Male,3.9,2.1,2.8,74.2,6.7,6,5,Fair,Average,77.8,Medium Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.']"
17,Male,3.1,2.3,2.4,83.2,5.9,4,4,Fair,Good,61.5,Medium Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.']"
22,Female,5.9,3.5,0.4,89.0,4.9,3,1,Good,Good,71.4,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
17,Female,4.2,2.0,0.4,88.6,5.4,8,2,Fair,Good,93.9,Low Risk,['Improve sleep routine and aim for 7-8 hours of sleep.']
18,Female,4.6,0.6,2.1,90.0,4.5,8,1,Poor,Good,85.9,Low Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.']"
20,Female,4.5,4.6,2.0,87.9,6.5,6,2,Fair,Good,73.8,Medium Risk,['Reduce social media usage to improve focus.']
20,Female,5.3,4.2,1.1,79.9,5.1,9,2,Good,Average,83.3,Low Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
22,Male,3.8,0.9,2.0,79.9,6.2,10,1,Fair,Good,79.7,Medium Risk,['Increase weekly physical activity for better balance.']
23,Male,1.6,3.3,3.5,73.0,8.1,1,6,Good,Good,47.1,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.']"
18,Male,4.1,1.9,2.6,100.0,7.9,8,6,Fair,Good,91.9,Low Risk,['Reduce entertainment screen time.']
19,Female,2.5,2.8,0.5,85.1,6.5,6,0,Poor,Poor,60.6,Medium Risk,"['Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.', 'Improve internet access or use campus resources for online learning.']"
17,Female,2.7,2.9,1.7,82.8,6.4,1,4,Fair,Average,46.6,High Risk,['Focus on mental well-being and seek support if needed.']
21,Male,4.4,2.2,0.9,75.7,8.8,4,6,Good,Poor,84.2,Low Risk,"['Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
17,Male,5.4,1.6,1.4,100.0,7.1,5,3,Fair,Average,95.5,Low Risk,['Maintain current positive study and lifestyle habits.']
24,Female,3.5,1.7,1.3,74.3,6.1,7,1,Good,Good,73.5,Medium Risk,"['Improve class attendance to at least 80%.', 'Increase weekly physical activity for better balance.']"
17,Male,4.0,1.4,1.3,80.7,4.8,8,2,Fair,Poor,75.9,Medium Risk,"['Improve sleep routine and aim for 7-8 hours of sleep.', 'Improve internet access or use campus resources for online learning.']"
19,Female,6.1,1.5,0.4,89.2,7.0,9,1,Poor,Average,100.0,Low Risk,"['Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.']"
17,Female,3.9,2.4,1.7,91.0,7.5,6,4,Good,Average,74.2,Medium Risk,['Maintain current positive study and lifestyle habits.']
18,Female,7.4,1.6,1.2,94.6,5.7,10,5,Fair,Good,100.0,Low Risk,['Improve sleep routine and aim for 7-8 hours of sleep.']
18,Male,4.3,3.3,0.0,100.0,6.8,9,6,Fair,Average,94.9,Low Risk,['Reduce social media usage to improve focus.']
20,Female,0.9,4.3,4.1,90.1,6.1,4,6,Good,Average,27.6,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
22,Female,4.6,1.8,3.0,74.4,6.3,8,6,Fair,Average,86.2,Low Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.']"
23,Female,4.1,2.8,1.4,82.4,3.5,3,2,Good,Average,60.1,Medium Risk,"['Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.']"
21,Female,5.4,3.1,1.8,88.1,6.2,4,3,Poor,Average,91.3,Low Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
24,Female,4.5,3.1,0.5,100.0,7.7,10,3,Fair,Average,93.8,Low Risk,['Reduce social media usage to improve focus.']
17,Female,3.3,2.6,3.7,71.0,5.7,4,6,Poor,Good,61.6,Medium Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
17,Male,1.7,3.4,3.9,97.0,6.6,6,3,Good,Average,41.7,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Reduce entertainment screen time.']"
19,Female,3.2,3.1,2.0,86.8,5.6,9,5,Fair,Poor,74.5,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Improve internet access or use campus resources for online learning.']"
22,Female,2.2,1.0,2.9,93.4,6.9,6,6,Good,Good,63.7,Medium Risk,['Reduce entertainment screen time.']
18,Male,2.6,3.5,2.0,84.0,6.2,1,0,Good,Average,39.6,High Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
21,Female,4.4,3.6,0.3,76.6,5.4,5,2,Fair,Good,87.5,Low Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
20,Female,6.0,1.6,1.3,92.5,8.1,9,5,Fair,Average,100.0,Low Risk,['Maintain current positive study and lifestyle habits.']
18,Female,4.1,2.5,1.9,91.5,7.6,5,2,Fair,Good,75.4,Medium Risk,['Maintain current positive study and lifestyle habits.']
24,Male,1.7,3.3,1.3,94.7,5.8,6,6,Fair,Good,61.5,Medium Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
22,Male,4.2,2.2,1.6,84.9,7.1,3,5,Fair,Good,73.3,Medium Risk,['Focus on mental well-being and seek support if needed.']
24,Other,5.3,3.8,1.7,79.0,7.1,8,6,Good,Average,96.3,Low Risk,['Reduce social media usage to improve focus.']
23,Female,2.6,5.3,1.7,69.4,7.3,10,5,Good,Average,67.0,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve class attendance to at least 80%.']"
20,Male,3.3,1.6,1.9,93.2,4.5,4,6,Good,Average,70.1,Medium Risk,"['Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.']"
23,Female,3.5,0.8,0.6,89.2,7.7,4,0,Good,Good,84.2,Low Risk,"['Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
19,Female,2.3,2.9,1.0,75.3,5.8,5,2,Good,Good,48.9,High Risk,['Improve sleep routine and aim for 7-8 hours of sleep.']
24,Female,4.5,3.4,0.4,79.6,6.1,10,5,Fair,Poor,98.8,Low Risk,"['Reduce social media usage to improve focus.', 'Improve internet access or use campus resources for online learning.']"
19,Female,3.3,2.2,2.9,80.3,9.7,9,0,Good,Poor,76.1,Medium Risk,"['Reduce entertainment screen time.', 'Increase weekly physical activity for better balance.', 'Improve internet access or use campus resources for online learning.']"
17,Male,4.1,4.2,0.0,70.2,6.9,8,1,Good,Average,80.4,Low Risk,"['Reduce social media usage to improve focus.', 'Improve class attendance to at least 80%.', 'Increase weekly physical activity for better balance.']"
23,Male,2.2,0.9,3.1,76.8,6.0,7,6,Fair,Poor,64.1,Medium Risk,"['Reduce entertainment screen time.', 'Improve internet access or use campus resources for online learning.']"
22,Male,2.8,3.3,3.3,73.7,3.9,5,4,Good,Average,59.4,High Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
24,Female,4.6,1.8,1.5,80.9,8.2,9,5,Fair,Poor,94.2,Low Risk,['Improve internet access or use campus resources for online learning.']
21,Male,2.9,4.6,0.0,77.6,4.9,9,3,Good,Good,67.8,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
20,Male,6.1,4.9,1.4,68.7,5.3,10,0,Good,Good,96.1,Low Risk,"['Reduce social media usage to improve focus.', 'Improve class attendance to at least 80%.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Increase weekly physical activity for better balance.']"
18,Male,2.9,1.6,1.7,100.0,6.1,10,0,Good,Good,70.2,Medium Risk,['Increase weekly physical activity for better balance.']
22,Female,3.8,1.8,0.7,97.5,8.2,2,5,Fair,Average,84.2,Low Risk,['Focus on mental well-being and seek support if needed.']
22,Female,4.9,3.5,1.2,77.2,7.4,4,0,Good,Good,75.4,Medium Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
19,Male,1.4,2.0,3.5,87.7,6.3,8,1,Fair,Good,41.7,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.', 'Increase weekly physical activity for better balance.']"
23,Male,0.9,2.4,2.5,89.2,6.9,1,0,Fair,Poor,23.1,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.', 'Improve internet access or use campus resources for online learning.']"
24,Female,1.2,2.5,0.8,96.9,5.8,5,4,Good,Good,50.3,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
24,Male,5.4,0.2,0.0,76.8,6.7,8,4,Fair,Average,100.0,Low Risk,['Maintain current positive study and lifestyle habits.']
17,Male,2.7,2.5,1.4,95.9,6.6,2,6,Good,Average,52.2,High Risk,['Focus on mental well-being and seek support if needed.']
17,Male,7.3,1.7,1.6,79.5,7.7,2,6,Fair,Average,100.0,Low Risk,['Focus on mental well-being and seek support if needed.']
20,Male,2.7,1.9,2.3,71.6,7.7,8,3,Fair,Poor,71.2,Medium Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Improve internet access or use campus resources for online learning.']"
19,Male,3.8,4.2,1.2,92.2,7.1,10,1,Good,Good,72.3,Medium Risk,"['Reduce social media usage to improve focus.', 'Increase weekly physical activity for better balance.']"
22,Female,5.8,1.0,2.4,97.9,6.1,9,4,Fair,Average,100.0,Low Risk,['Reduce entertainment screen time.']
24,Male,6.5,3.5,3.9,100.0,7.4,7,5,Poor,Average,100.0,Low Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve diet quality to support better academic performance.']"
21,Female,6.6,2.2,2.7,73.0,6.4,8,2,Good,Poor,100.0,Low Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Improve internet access or use campus resources for online learning.']"
19,Male,5.3,2.2,1.7,92.0,5.2,5,2,Fair,Good,93.1,Low Risk,['Improve sleep routine and aim for 7-8 hours of sleep.']
20,Female,5.0,3.4,1.6,80.9,6.0,1,2,Good,Average,67.7,Medium Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.']"
20,Female,4.4,2.9,1.4,92.8,6.6,4,6,Fair,Good,77.9,Medium Risk,['Focus on mental well-being and seek support if needed.']
19,Male,4.7,3.2,3.1,70.3,7.6,2,5,Fair,Good,80.3,Low Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.']"
20,Female,2.7,3.7,1.1,72.4,6.3,3,0,Fair,Average,44.3,High Risk,"['Reduce social media usage to improve focus.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
19,Male,2.3,2.1,1.8,77.2,5.0,3,5,Fair,Average,54.7,High Risk,"['Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.']"
18,Other,3.5,1.8,1.9,85.8,6.6,9,0,Fair,Good,85.0,Low Risk,['Increase weekly physical activity for better balance.']
19,Male,3.2,1.2,1.2,78.6,6.6,10,2,Fair,Poor,81.7,Low Risk,['Improve internet access or use campus resources for online learning.']
23,Male,2.8,1.5,0.3,91.6,6.7,4,3,Fair,Poor,71.6,Medium Risk,"['Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
19,Male,4.5,6.0,2.2,95.3,7.6,2,3,Poor,Good,73.7,Medium Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
20,Other,4.9,4.0,1.7,91.0,7.7,3,0,Fair,Average,77.0,Medium Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
24,Female,3.6,0.9,2.4,100.0,5.8,3,2,Poor,Average,72.3,Medium Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
23,Female,5.7,0.9,1.2,89.2,5.8,7,5,Poor,Average,100.0,Low Risk,"['Improve sleep routine and aim for 7-8 hours of sleep.', 'Improve diet quality to support better academic performance.']"
20,Male,1.8,3.1,3.1,72.8,5.3,8,3,Good,Average,54.0,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
17,Female,3.2,3.2,0.8,98.6,7.3,6,0,Good,Good,70.4,Medium Risk,"['Reduce social media usage to improve focus.', 'Increase weekly physical activity for better balance.']"
17,Male,2.4,3.2,3.7,78.9,8.2,4,5,Good,Good,47.0,High Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
24,Female,0.7,2.2,0.0,94.1,6.1,6,2,Fair,Good,48.7,High Risk,['Increase daily study hours to at least 2-3 hours.']
24,Male,3.4,2.3,2.3,100.0,6.2,1,1,Good,Good,47.6,High Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
23,Male,3.3,2.9,2.3,89.6,8.3,10,2,Good,Average,81.1,Low Risk,['Reduce entertainment screen time.']
18,Male,5.8,2.6,0.9,70.0,7.1,8,6,Good,Average,100.0,Low Risk,['Improve class attendance to at least 80%.']
24,Male,4.4,0.0,2.3,75.8,7.0,1,2,Fair,Average,81.9,Low Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
17,Female,2.0,2.2,3.2,98.2,5.1,5,5,Good,Average,56.3,High Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
19,Male,6.3,1.5,0.0,83.3,7.3,2,5,Good,Good,100.0,Low Risk,['Focus on mental well-being and seek support if needed.']
20,Female,5.3,2.7,2.4,85.8,5.4,6,4,Good,Good,81.0,Low Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
17,Male,4.4,6.1,0.0,92.6,5.1,9,4,Poor,Average,84.9,Low Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Improve diet quality to support better academic performance.']"
17,Female,3.2,2.9,0.7,92.0,6.1,5,5,Fair,Poor,67.9,Medium Risk,['Improve internet access or use campus resources for online learning.']
18,Male,2.1,2.1,3.6,87.8,5.8,4,5,Fair,Poor,56.9,High Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
23,Male,2.9,3.6,1.2,82.9,6.2,2,1,Fair,Average,45.9,High Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
23,Female,5.1,3.1,0.5,81.9,4.8,3,1,Good,Poor,76.0,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.', 'Improve internet access or use campus resources for online learning.']"
22,Male,6.3,3.0,1.6,93.6,7.7,6,2,Poor,Average,94.8,Low Risk,['Improve diet quality to support better academic performance.']
18,Male,5.8,3.2,4.1,90.5,7.9,8,6,Poor,Good,99.3,Low Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve diet quality to support better academic performance.']"
19,Female,2.8,5.0,0.0,82.4,4.2,8,3,Fair,Good,71.0,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
23,Female,1.8,1.1,0.6,95.8,7.7,5,6,Poor,Average,70.9,Medium Risk,"['Increase daily study hours to at least 2-3 hours.', 'Improve diet quality to support better academic performance.']"
20,Male,3.7,3.1,3.4,83.7,5.5,5,1,Fair,Average,59.8,High Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Increase weekly physical activity for better balance.']"
24,Male,0.8,1.4,3.8,76.5,7.5,10,2,Good,Average,36.0,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.']"
18,Female,4.0,3.2,1.7,77.4,6.4,3,6,Fair,Good,68.4,Medium Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.']"
24,Male,3.3,1.4,0.4,75.2,6.5,7,0,Poor,Good,72.9,Medium Risk,"['Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.']"
17,Male,2.8,2.0,4.1,82.3,6.3,6,4,Fair,Good,57.3,High Risk,['Reduce entertainment screen time.']
20,Male,1.1,2.1,3.6,97.3,8.0,1,6,Fair,Average,50.3,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
20,Female,4.3,3.7,2.5,76.9,5.0,4,3,Poor,Good,65.7,Medium Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
17,Female,2.7,3.6,0.9,86.9,7.2,6,2,Good,Poor,67.9,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve internet access or use campus resources for online learning.']"
18,Male,1.7,1.0,1.7,78.4,7.8,6,6,Good,Good,63.6,Medium Risk,['Increase daily study hours to at least 2-3 hours.']
17,Male,0.0,2.6,1.6,82.4,7.4,3,5,Good,Average,32.9,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Focus on mental well-being and seek support if needed.']"
24,Male,3.5,1.6,2.2,69.9,9.3,6,0,Good,Average,67.7,Medium Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Increase weekly physical activity for better balance.']"
22,Female,6.2,1.0,3.4,82.8,5.9,10,4,Poor,Good,100.0,Low Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Improve diet quality to support better academic performance.']"
20,Male,6.0,2.2,2.8,83.1,7.6,6,0,Good,Average,96.8,Low Risk,"['Reduce entertainment screen time.', 'Increase weekly physical activity for better balance.']"
21,Male,2.8,2.1,0.6,90.4,6.4,9,2,Good,Poor,71.0,Medium Risk,['Improve internet access or use campus resources for online learning.']
21,Female,2.6,5.4,3.3,87.2,8.0,9,1,Good,Poor,59.8,High Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Increase weekly physical activity for better balance.', 'Improve internet access or use campus resources for online learning.']"
24,Male,4.2,3.0,2.1,73.0,6.5,2,4,Poor,Poor,64.2,Medium Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.', 'Improve internet access or use campus resources for online learning.']"
